W,T,R
0.3,5.09e-05,0.6278481
0.301,5.21e-05,0.7085131
0.302,2.85e-05,0.7695413999999999
0.303,4.41e-05,0.7660371
0.304,0.0001016,0.7618938
0.305,0.0001404,0.7733361999999999
0.306,0.00012109999999999999,0.7094746000000001
0.307,7.62e-05,0.7081722
0.308,4.68e-05,0.741735
0.309,4.989999999999999e-05,0.7970142
0.31,0.00021559999999999998,0.8468098000000001
0.311,0.0014833,0.8636917
0.312,0.0024305,0.8866749
0.313,0.0028794999999999997,0.8774337
0.314,0.0026736999999999998,0.9181927000000001
0.315,0.0019297000000000001,0.9362336
0.316,0.0001426,0.9729079
0.317,1.53e-05,0.9826804
0.318,1.6100000000000002e-05,0.9812765
0.319,0.0003878,0.9726463
0.32,0.001142,0.9550148
0.321,0.0013580999999999999,0.9450445000000001
0.322,0.0020605000000000003,0.9313731
0.323,0.0022548,0.9320711
0.324,0.0032424999999999997,0.9165572000000001
0.325,0.0027828,0.9281476999999999
0.326,0.0036747000000000004,0.9272824
0.327,0.0047513,0.9361581999999999
0.328,0.0045422,0.9581358
0.329,0.0039875,0.9605273
0.33,0.0041042,0.9658031
0.331,0.0040219,0.9640102
0.332,0.0032795000000000003,0.966375
0.333,0.0031425,0.9658249000000001
0.334,0.0034404,0.96502
0.335,0.0037029000000000003,0.964297
0.336,0.0039427,0.9656142
0.337,0.0038753,0.9661671
0.338,0.0037674,0.9611574
0.339,0.0032364,0.9656087
0.34,0.0029733999999999997,0.9710962999999999
0.341,0.0033117999999999997,0.9732626000000001
0.342,0.0038580999999999997,0.9762555999999999
0.343,0.0053178,0.9785874
0.344,0.0074592999999999994,0.9793782
0.345,0.0097314,0.9772372
0.346,0.0119405,0.9747224
0.347,0.0135945,0.9733907
0.348,0.0165087,0.9701344000000001
0.349,0.017027399999999998,0.9701732
0.35,0.0151652,0.9730133999999999
0.351,0.0128743,0.9791307
0.352,0.0102241,0.9820183
0.353,0.007944,0.9871331999999999
0.354,0.0074275999999999995,0.9880593000000001
0.355,0.010511,0.9868113
0.356,0.0124983,0.9851694999999999
0.357,0.0225114,0.9756477
0.358,0.029933900000000003,0.9687621
0.359,0.044029,0.9547751999999999
0.36,0.0543051,0.9445341
0.361,0.0816967,0.9166082
0.362,0.103597,0.8947421
0.363,0.1181218,0.8804549
0.364,0.16747050000000002,0.8308450000000001
0.365,0.2370768,0.7614729
0.366,0.2994264,0.6990029
0.367,0.38403170000000003,0.6145218
0.368,0.488059,0.5106788
0.369,0.6148129,0.3838288
0.37,0.7329758,0.2653758
0.371,0.8171134999999999,0.1816526
0.372,0.8967006000000001,0.10108320000000001
0.373,0.9548653,0.0437823
0.374,0.965671,0.032834
0.375,0.9674469000000001,0.0311208
0.376,0.967771,0.0304661
0.377,0.9684357,0.029948899999999997
0.378,0.9662461999999999,0.0323906
0.379,0.9654337,0.0331834
0.38,0.9660278,0.0325895
0.381,0.9669199,0.031888200000000005
0.382,0.9677924,0.0304614
0.383,0.9697294,0.029468499999999998
0.384,0.9693272,0.029519000000000004
0.385,0.9685577000000001,0.030451000000000002
0.386,0.9679152000000001,0.030816200000000002
0.387,0.9673491,0.0316989
0.388,0.9667502,0.032265999999999996
0.389,0.9657564000000001,0.032814199999999995
0.39,0.9656573,0.0334287
0.391,0.9649684000000001,0.033906900000000004
0.392,0.9642053,0.0347989
0.393,0.9631731000000001,0.0351152
0.394,0.9641357,0.0350004
0.395,0.9652263000000001,0.0340976
0.396,0.9661282,0.0329834
0.397,0.9661746999999999,0.0327466
0.398,0.9672615999999999,0.0316775
0.399,0.9674692,0.031562
0.4,0.9670869000000001,0.0312693
0.401,0.9678180999999999,0.0313157
0.402,0.9682919,0.030784600000000002
0.403,0.9680746,0.0308172
0.404,0.9682442,0.0313294
0.405,0.9666018,0.0318613
0.406,0.9667990000000001,0.032393200000000004
0.407,0.9662539,0.0328883
0.408,0.9659247999999999,0.033424800000000005
0.409,0.9660183000000001,0.0333404
0.41,0.9651725999999999,0.0335018
0.411,0.9657098000000001,0.033594900000000004
0.412,0.9650527,0.0339026
0.413,0.9651023000000001,0.0338673
0.414,0.9651049999999999,0.0340761
0.415,0.9650038999999999,0.0338074
0.416,0.9659068000000001,0.033424
0.417,0.965736,0.0328911
0.418,0.9673235,0.0320555
0.419,0.9670968999999999,0.0317783
0.42,0.9671803,0.0316001
0.421,0.9672029000000001,0.0318459
0.422,0.9668606,0.031893
0.423,0.9667948,0.032327499999999995
0.424,0.9665884,0.0323865
0.425,0.9670206,0.0325711
0.426,0.9658549,0.032815500000000004
0.427,0.9663501999999999,0.0329443
0.428,0.9659881,0.0332354
0.429,0.9657640000000001,0.0331264
0.43,0.9662752,0.0330291
0.431,0.9659487,0.0328242
0.432,0.9665848,0.0327304
0.433,0.9664562,0.0326353
0.434,0.9664238,0.0327033
0.435,0.9661803,0.0328898
0.436,0.9655267999999999,0.0334906
0.437,0.9660194,0.0336276
0.438,0.9660323,0.033265699999999995
0.439,0.9663557,0.0327549
0.44,0.9671363,0.0319333
0.441,0.9680782000000001,0.031210599999999998
0.442,0.9685473,0.030488599999999998
0.443,0.9687251,0.0303539
0.444,0.9691096,0.0303484
0.445,0.9685815,0.030420199999999998
0.446,0.9686968,0.0307675
0.447,0.968438,0.0308329
0.448,0.9682098,0.030950500000000002
0.449,0.9678596,0.0310472
0.45,0.9678785000000001,0.0311433
0.451,0.9682672,0.031375
0.452,0.9674504,0.0318655
0.453,0.9668768,0.0323795
0.454,0.9666744,0.0325557
0.455,0.9663589,0.0327049
0.456,0.9663569,0.032751800000000005
0.457,0.9665712999999999,0.0327054
0.458,0.9669097999999999,0.0323572
0.459,0.9670924,0.0319911
0.46,0.9673254,0.0320774
0.461,0.9672537,0.0318562
0.462,0.9676421999999999,0.0317606
0.463,0.9673806,0.0317856
0.464,0.9677093999999999,0.0313116
0.465,0.9684022,0.0312517
0.466,0.9680445,0.0311386
0.467,0.9688038,0.0306416
0.468,0.9690791,0.0305167
0.469,0.9692251000000001,0.0301917
0.47,0.9694717,0.0298272
0.471,0.969128,0.0297813
0.472,0.9699625000000001,0.029443
0.473,0.9698274000000001,0.029351699999999998
0.474,0.9699876999999999,0.0295507
0.475,0.9700784,0.029475099999999997
0.476,0.9695769,0.0297905
0.477,0.9692383999999999,0.030168300000000002
0.478,0.9690413,0.030191499999999996
0.479,0.969132,0.030465399999999997
0.48,0.9684731999999999,0.030633499999999998
0.481,0.968879,0.030747399999999998
0.482,0.9682828000000001,0.031089500000000003
0.483,0.9681937,0.031118899999999998
0.484,0.9682863,0.0311603
0.485,0.9680135,0.0315475
0.486,0.9681026,0.0314896
0.487,0.9681647999999999,0.031368900000000005
0.488,0.9674299999999999,0.0316669
0.489,0.9677567,0.0315856
0.49,0.9676125,0.0312924
0.491,0.9680932,0.0314315
0.492,0.9682824999999999,0.0312677
0.493,0.9686003,0.0308474
0.494,0.9687944,0.030741900000000003
0.495,0.9688576000000001,0.030527000000000002
0.496,0.9693209,0.0301772
0.497,0.9693156,0.030127
0.498,0.969648,0.030042100000000002
0.499,0.9696801,0.0297135
0.5,0.9698104,0.029613800000000003
0.501,0.9700504,0.029613
0.502,0.9698711,0.029530599999999997
0.503,0.970197,0.0296279
0.504,0.9696558000000001,0.0296753
0.505,0.9702573999999999,0.0295274
0.506,0.9700118000000001,0.0294665
0.507,0.9700654,0.0295522
0.508,0.9699757,0.0294854
0.509,0.9701337,0.029399799999999997
0.51,0.9702249999999999,0.0293602
0.511,0.9698625,0.029284599999999997
0.512,0.9702526,0.0294338
0.513,0.9698270999999999,0.0298192
0.514,0.96953,0.030108100000000002
0.515,0.9694237,0.030264199999999998
0.516,0.9687262,0.0304706
0.517,0.9691754,0.030643899999999998
